Start time,Temperature Rating,Classification
2023-10-17 14:00:00,-0.82,Hot
2023-10-17 14:45:00,2.0,Cold
2023-10-17 15:00:00,1.0,Cold
2023-10-17 16:15:00,0.0,Cold
2023-10-18 13:45:00,-0.5,Hot
2023-10-18 14:15:00,-1.0,Hot
2023-10-18 14:30:00,0.0,Cold
2023-10-18 14:45:00,2.0,Cold
2023-10-18 15:00:00,-0.06896551724137931,Hot
2023-10-18 17:15:00,0.0,Cold
2023-10-18 17:45:00,0.0,Cold
2023-10-25 10:00:00,-1.0754716981132075,Hot
2023-10-25 13:45:00,-0.42857142857142855,Hot
2023-10-25 14:00:00,-1.7272727272727273,Hot
2023-10-25 14:15:00,-1.4545454545454546,Hot
2023-10-25 14:30:00,-3.0,Very Hot
2023-10-25 14:45:00,-0.5,Hot
2023-10-25 15:00:00,0.45454545454545453,Cold
2023-10-25 15:15:00,1.2857142857142858,Cold
2023-10-25 15:30:00,2.0,Cold
2023-10-26 11:00:00,-1.5454545454545454,Hot
2023-10-26 11:30:00,-0.45454545454545453,Hot
2023-10-26 11:45:00,-2.5,Very Hot
2023-10-26 13:45:00,2.0,Cold
2023-10-31 14:00:00,-2.0,Hot
2023-11-01 14:00:00,-0.42857142857142855,Hot
2023-11-01 14:15:00,1.0,Cold
2023-11-01 14:30:00,0.4,Cold
2023-11-01 14:45:00,-1.0,Hot
2023-11-01 15:00:00,-2.111111111111111,Hot
2023-11-01 15:30:00,-1.0,Hot
2023-11-07 11:00:00,-2.75,Very Hot
2023-11-07 11:15:00,-0.6,Hot
2023-11-07 11:30:00,-1.2,Hot
2023-11-07 11:45:00,-1.0,Hot
2023-11-07 14:00:00,-0.8,Hot
2023-11-07 14:15:00,0.2,Cold
2023-11-07 14:30:00,-4.0,Very Hot
2023-11-07 14:45:00,-0.25,Hot
2023-11-07 15:00:00,0.0,Cold
2023-11-07 15:45:00,0.0,Cold
2023-11-08 14:00:00,-0.8333333333333334,Hot
2023-11-08 14:30:00,-4.0,Very Hot
2023-11-08 14:45:00,-1.0,Hot
2023-11-08 15:00:00,-1.2,Hot
2023-11-08 15:15:00,0.0,Cold
2023-11-15 14:00:00,-0.9,Hot
2023-11-15 14:15:00,-3.0,Very Hot
2023-11-15 14:45:00,0.1,Cold
2023-11-15 15:00:00,-0.6666666666666666,Hot
